locality_name,Median_Home_Price_Q1_2025,Monthly_Payment_Q1_2025,Monthly_Payment_Q1_2024
Accomack County,"$224,150.00","$1,320.00","$1,220.00"
Albemarle County,"$554,490.00","$3,260.00","$3,020.00"
Alleghany County,"$141,960.00",$840.00,$780.00
Amelia County,"$270,710.00","$1,590.00","$1,510.00"
Amherst County,"$216,290.00","$1,270.00","$1,200.00"
Appomattox County,"$207,520.00","$1,220.00","$1,150.00"
Arlington County,"$898,100.00","$5,290.00","$5,080.00"
Augusta County,"$340,810.00","$2,010.00","$1,860.00"
Bath County,"$239,120.00","$1,410.00","$1,310.00"
Bedford County,"$323,670.00","$1,900.00","$1,800.00"
Bland County,"$182,360.00","$1,070.00","$1,000.00"
Botetourt County,"$323,510.00","$1,900.00","$1,760.00"
Brunswick County,"$154,040.00",$910.00,$840.00
Buchanan County,"$106,100.00",$620.00,$580.00
Buckingham County,"$194,780.00","$1,150.00","$1,060.00"
Campbell County,"$218,490.00","$1,290.00","$1,220.00"
Caroline County,"$319,730.00","$1,880.00","$1,780.00"
Carroll County,"$167,390.00",$990.00,$910.00
Charles City County,"$253,090.00","$1,490.00","$1,410.00"
Charlotte County,"$167,150.00",$980.00,$910.00
Chesterfield County,"$414,480.00","$2,440.00","$2,310.00"
Clarke County,"$568,790.00","$3,350.00","$3,210.00"
Craig County,"$253,250.00","$1,490.00","$1,380.00"
Culpeper County,"$448,530.00","$2,640.00","$2,450.00"
Cumberland County,"$248,580.00","$1,460.00","$1,390.00"
Dickenson County,"$117,360.00",$690.00,$640.00
Dinwiddie County,"$277,940.00","$1,640.00","$1,550.00"
Essex County,"$265,360.00","$1,560.00","$1,450.00"
Fairfax County,"$767,540.00","$4,520.00","$4,340.00"
Fauquier County,"$593,280.00","$3,490.00","$3,350.00"
Floyd County,"$250,150.00","$1,470.00","$1,370.00"
Fluvanna County,"$316,970.00","$1,870.00","$1,730.00"
Franklin County,"$268,050.00","$1,580.00","$1,460.00"
Frederick County,"$445,250.00","$2,620.00","$2,400.00"
Giles County,"$155,860.00",$920.00,$880.00
Gloucester County,"$334,450.00","$1,970.00","$1,820.00"
Goochland County,"$546,280.00","$3,220.00","$3,050.00"
Grayson County,"$153,570.00",$900.00,$840.00
Greene County,"$354,770.00","$2,090.00","$1,930.00"
Greensville County,"$184,800.00","$1,090.00","$1,010.00"
Halifax County,"$172,840.00","$1,020.00",$940.00
Hanover County,"$457,400.00","$2,690.00","$2,550.00"
Henrico County,"$409,290.00","$2,410.00","$2,280.00"
Henry County,"$139,640.00",$820.00,$760.00
Highland County,"$227,170.00","$1,340.00","$1,240.00"
Isle of Wight County,"$385,800.00","$2,270.00","$2,100.00"
James City County,"$519,600.00","$3,060.00","$2,830.00"
King and Queen County,"$272,070.00","$1,600.00","$1,520.00"
